"Description (English)","Description (français)","GSIN Description (English)","Description du NIBS (français)","GSIN Code/Code NIBS","Vendor Legal Name/Dénomination sociale du fournisseur","Vendor Operating Name/Nom commercial du fournisseur","End User","Utilisateur final","Start Date/Date de début","End Date/Date de fin","Delivery Point Code/Code du point de livraison","Delivery Point (English)","Point de livraison (français)","Agreement Type (English)","Type d'accord (français)","Standing Offer Number/Numéro d'accord"
"Winter Nursery Canterbury","Pépinière d'hiver Canterbury","Agriculture (R&D)","Agriculture (R et D)",AA910300,"Southern Seed Technology Limited","Southern Seed Technology Limited","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-14,2014-08-14,SK,Saskatchewan,Saskatchewan,RISO,OCIR,01581-130096/001/STN
"Lab Media","Laboratoire média","Instruments and Laboratory Equipment","Équipement et instruments de laboratoire",N6640,"Dalynn Biologicals Inc.","Dalynn Biologicals Inc.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-05-01,2013-04-30,AB,Alberta,Alberta,RISO,OCIR,01586-100609/001/WPG
"Liquid Manure Removal","Élimination du purin","Custodial Services","Services de garde",K107CD,"Perfection Pumping Corp.","Perfection Pumping Corp.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-04-01,2013-03-31,AB,Alberta,Alberta,RISO,OCIR,01587-110418/001/EDM
"HVAC Service","Service CVAC","Refrigeration, Air Conditioning, and Air Circulating Equipment","Équipements de réfrigération, de conditionnement et de circulation d'air",JX4130A,"Automatic Temperature Control Ltd.","Automatic Temperature Control Ltd.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-12-13,2014-12-31,AB,Alberta,Alberta,RISO,OCIR,01587-110525/001/EDM
"Electrical Services","Services électriques","Electrical and Electronic Equipment Components","Composants d'equipement électrique et électronique",JX5975,"KING'S ELECTRIC LTD","KING'S ELECTRIC LTD","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-24,2013-08-31,AB,Alberta,Alberta,RISO,OCIR,01587-120002/001/EDM
"Custom Farming Services","Services d'agriculture personnalisé","Agriculture and Forestry Services","Services d'agriculture et de foresterie",F006E,"EDWIN WOODROW","EDWIN WOODROW","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-04-20,2014-04-30,AB,Alberta,Alberta,RISO,OCIR,01587-120720/001/EDM
"Commercial Refrigeration Services","Services de réfrigération commerciale","Refrigeration, Air Conditioning, and Air Circulating Equipment","Équipements de réfrigération, de conditionnement et de circulation d'air",JX4110,"Henday Mechanical Ltd.","Henday Mechanical Ltd.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-06-01,2014-05-31,AB,Alberta,Alberta,RISO,OCIR,01587-120751/001/EDM
"Veterinary Services","Services vétérinaires","Medical, Dental, and Veterinary Equipment and Supplies","Équipement et approvisionnements médicaux, dentaires et vétérinaires",N6515V,"Grand Valley Animal Clinic Ltd.","Grand Valley Animal Clinic Ltd.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-12-01,2013-11-30,MB,Manitoba,Manitoba,RISO,OCIR,01633-101326/001/WPG
Hay,Foin,"Agriculture Supplies","Approvisionnement agricoles",N8710A,"5972371 Manitoba Ltd.","5972371 Manitoba Ltd.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-16,2013-08-31,MB,Manitoba,Manitoba,RISO,OCIR,01633-120018/001/WPG
Hay,Foin,"Agriculture Supplies","Approvisionnement agricoles",N8710A,"5972397 Manitoba Ltd.","5972397 Manitoba Ltd.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-16,2013-08-31,MB,Manitoba,Manitoba,RISO,OCIR,01633-120018/002/WPG
"Refrigeration Services","Services de réfrigération","Refrigeration, Air Conditioning, and Air Circulating Equipment","Équipements de réfrigération, de conditionnement et de circulation d'air",JX4110,"Randy W Pierce","ER Refrigeration","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-02-01,2013-01-31,MB,Manitoba,Manitoba,RISO,OCIR,01633-120181/001/WPG
"Land Field Services","Services sur le terrain/champ","Agriculture and Forestry Services","Services d'agriculture et de foresterie",F006E,"Parkland Crop Diversification Foundation","Parkland Crop Diversification Foundation","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-09-19,2013-07-31,MB,Manitoba,Manitoba,RISO,OCIR,01633-121202/001/WPG
"FARM CHEMICALS","PRODUITS CHIMIQUES AGRICOLES","Chemicals and Chemical Products","Produits chimiques",N6810CA,"SETTERINGTON'S FERTILIZER SERVICE","SETTERINGTON'S FERTILIZER SERVICE","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-06-20,2013-06-19,ON,Ontario,Ontario,RISO,OCIR,01686-110488/001/TOR
"Test Kits and Reagents","Trousses d'épreuve et réactifs","Medical, Dental, and Veterinary Equipment and Supplies","Équipement et approvisionnements médicaux, dentaires et vétérinaires",N6550FRJ,"Nanostring Technologies","Nanostring Technologies","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2009-12-12,2013-12-31,FD,Foreign,Foreign,RISO,OCIR,01799-100262/001/MCT
"BAGS, MESH HARVEST/VEGETTABLE","SACS À SEMENCES ET À LÉGUMES","Containers, Packaging and Packing Supplies","Emballages - matériaux d'empaquetage et d'emballage",N8105,"Saskatchewan Abilities Council Inc.","Saskatchewan Abilities Council Inc.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,MB,Manitoba,Manitoba,RISO,OCIR,01896-110077/001/WPG
"Small Plot Combines","Moissonneuses batteuses pour petites parcelles","Agricultural Machinery and Equipment","Machinerie et équipement agricoles",N3720,wintersteiger,wintersteiger,"Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-15,2013-07-31,AB,Alberta,Alberta,NISO,OCIN,01896-110201/001/WPG
"Small Plot Combines","Moissonneuses batteuses pour petites parcelles","Agricultural Machinery and Equipment","Machinerie et équipement agricoles",N3720,wintersteiger,wintersteiger,"Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-15,2013-07-31,MB,Manitoba,Manitoba,NISO,OCIN,01896-110201/001/WPG
"Small Plot Combines","Moissonneuses batteuses pour petites parcelles","Agricultural Machinery and Equipment","Machinerie et équipement agricoles",N3720,wintersteiger,wintersteiger,"Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-15,2013-07-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,01896-110201/001/WPG
"Small Plot Combines","Moissonneuses batteuses pour petites parcelles","Agricultural Machinery and Equipment","Machinerie et équipement agricoles",N3720,wintersteiger,wintersteiger,"Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-15,2013-07-31,ON,Ontario,Ontario,NISO,OCIN,01896-110201/001/WPG
"Small Plot Combines","Moissonneuses batteuses pour petites parcelles","Agricultural Machinery and Equipment","Machinerie et équipement agricoles",N3720,wintersteiger,wintersteiger,"Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-15,2013-07-31,PE,"Prince Edward Island",Île-du-Prince-Édouard,NISO,OCIN,01896-110201/001/WPG
"Small Plot Combines","Moissonneuses batteuses pour petites parcelles","Agricultural Machinery and Equipment","Machinerie et équipement agricoles",N3720,wintersteiger,wintersteiger,"Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-08-15,2013-07-31,SK,Saskatchewan,Saskatchewan,NISO,OCIN,01896-110201/001/WPG
"Coin Envelopes","Enveloppes pour pièces de monnaie","Office Supplies and Devices","Fournitures de bureau",N7530X,"Enveloppe Concept Inc.","Enveloppe Concept Inc.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-09-13,2013-09-12,MB,Manitoba,Manitoba,RISO,OCIR,01896-130093/001/WPG
"Winter Nursery Services","Services pépinière d'hiver","Agriculture (R&D)","Agriculture (R et D)",AA910300,"SEMILLAS GENERACION 2000 LTDA","SEMILLAS GENERACION 2000 LTDA","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-09-14,2014-05-30,AB,Alberta,Alberta,RISO,OCIR,01R11-110301/001/REG
"Winter Nursery Services","Services pépinière d'hiver","Agriculture (R&D)","Agriculture (R et D)",AA910300,"SEMILLAS GENERACION 2000 LTDA","SEMILLAS GENERACION 2000 LTDA","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-09-14,2014-05-30,MB,Manitoba,Manitoba,RISO,OCIR,01R11-110301/001/REG
"Winter Nursery Services","Services pépinière d'hiver","Agriculture (R&D)","Agriculture (R et D)",AA910300,"SEMILLAS GENERACION 2000 LTDA","SEMILLAS GENERACION 2000 LTDA","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-09-14,2014-05-30,ON,Ontario,Ontario,RISO,OCIR,01R11-110301/001/REG
"Winter Nursery Services","Services pépinière d'hiver","Agriculture (R&D)","Agriculture (R et D)",AA910300,"SEMILLAS GENERACION 2000 LTDA","SEMILLAS GENERACION 2000 LTDA","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-09-14,2014-05-30,SK,Saskatchewan,Saskatchewan,RISO,OCIR,01R11-110301/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,AB,Alberta,Alberta,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,MB,Manitoba,Manitoba,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NB,"New Brunswick",Nouveau-Brunswick,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NL,"Newfoundland & Labrador",Terre-Neuve,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NT,"Northwest Territories","Territoires du Nord-Ouest",NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NS,"Nova Scotia",Nouvelle-Écosse,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,ON,Ontario,Ontario,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,PE,"Prince Edward Island",Île-du-Prince-Édouard,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,QC,Québec,Québec,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Moffat & Co.","Moffat & Co.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,SK,Saskatchewan,Saskatchewan,NISO,OCIN,01R11-11S002/001/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,AB,Alberta,Alberta,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,MB,Manitoba,Manitoba,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NB,"New Brunswick",Nouveau-Brunswick,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NL,"Newfoundland & Labrador",Terre-Neuve,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,NS,"Nova Scotia",Nouvelle-Écosse,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,ON,Ontario,Ontario,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,PE,"Prince Edward Island",Île-du-Prince-Édouard,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,QC,Québec,Québec,NISO,OCIN,01R11-11S002/002/REG
"PATENT AGENT SERVICES","SERVICES D'AGENT DE BREVET","Professional Services","Services professionnels",R012A,"Peter McBurney, Michael Stewart, Sim & McBurney","Sim & McBurney","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2010-10-01,2013-09-30,SK,Saskatchewan,Saskatchewan,NISO,OCIN,01R11-11S002/002/REG
"Land/Field Experiment Services Supply","Provision des services d'expérience sur le terrain/champ","Agriculture and Forestry Services","Services d'agriculture et de foresterie",F006E,"Smoky Applied Research & Demonstration Association","Smoky Applied Research & Demonstration Association","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-09-15,2014-03-31,AB,Alberta,Alberta,RISO,OCIR,01R11-120018/002/REG
"Land/Field Experiment Services Supply","Provision des services d'expérience sur le terrain/champ","Agriculture and Forestry Services","Services d'agriculture et de foresterie",F006E,"Southern Applied Research Association","Southern Applied Research Association","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-09-15,2014-03-31,AB,Alberta,Alberta,RISO,OCIR,01R11-120018/003/REG
"WAREHOUSE SPACE","AIRES D'ENTREPOSAGE","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2008-12-01,2013-11-30,NC,"National Capital Region","Region de Capitale Nationale",RISO,OCIR,08009-080171/001/LM
"FREIGHT FORWARDING SERVICES","SERVICES D'EXPÉDITION DE FRET","Other Transport Services","Autres services de transport",V401B,"SDV Logistiques/Logistics (Canada) Inc.","SDV Logistiques/Logistics (Canada) Inc.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-03-01,2013-11-30,FD,Foreign,Foreign,NISO,OCIN,08009-089829/001/LM
"DIPLOMATIC MAIL AND COURIER","COURRIER ET MESSAGERIE DIPLOMATIQUE","Other Transport Services","Autres services de transport",V401B,"H & L Messengers Inc.","H & L Messengers Inc.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-09-01,2013-08-31,NC,"National Capital Region","Region de Capitale Nationale",RISO,OCIR,08009-090063/001/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"P V L Moving & Storage Ltd","P V L Moving & Storage Ltd","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/001/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Demenagement Outaouais Inc.","Demenagement Outaouais Inc.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/002/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Wills Transfer Limited","Wills Transfer Limited","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/003/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/005/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Crown Worldwide Ltd.","Crown Relocations","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/006/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Ottawa Logistics Ltd","D'Arcy Moving & Storage","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/007/LM
"PACKING & WAREHOUSING OF HOUSEHOLD","EMBALLAGE ET ENTREPOSAGE DES ÉQUIPEMENTS MÉNAGERS","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V505A,"Tippet-Richardson Limited","Tippet-Richardson Limited","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2009-08-01,2013-03-31,NC,"National Capital Region","Region de Capitale Nationale",NISO,OCIN,08209-080381/008/LM
"RELOCATION SERVICES","SERVICES DE DÉMÉNAGEMENT","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V502A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2008-10-01,2013-09-30,AB,Alberta,Alberta,RISO,OCIR,08283-080102/001/LM
"RELOCATION SERVICES","SERVICES DE DÉMÉNAGEMENT","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V502A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2008-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,08283-080102/001/LM
"RELOCATION SERVICES","SERVICES DE DÉMÉNAGEMENT","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V502A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2008-10-01,2013-09-30,MB,Manitoba,Manitoba,RISO,OCIR,08283-080102/001/LM
"RELOCATION SERVICES","SERVICES DE DÉMÉNAGEMENT","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V502A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2008-10-01,2013-09-30,NC,"National Capital Region","Region de Capitale Nationale",RISO,OCIR,08283-080102/001/LM
"RELOCATION SERVICES","SERVICES DE DÉMÉNAGEMENT","Supporting and Auxiliary Transport Services","Services de transport d'appui et auxiliaire",V502A,"Boyd Moving & Storage Ltd.","Boyd Moving & Storage Ltd.","Foreign Affairs & International Trade","Affaires étrangères Canada et du Commerce international",2008-10-01,2013-09-30,NB,"New Brunswick",Nouveau-Brunswick,RISO,OCIR,08283-080102/001/LM
